"","Goals","Assists","Points","PlMi","PIM","PPP","SHG","ATOI","SOG","HIT","BLK","GS","W","SV","SO","GAA","Result"
"343","8","12","20","2","24","4","0","1216","77","38","20","6","4","158","0","2.821","Loss"
"344","12","20","32","-8","22","11","0","1168","112","46","24","5","3","147","0","1.781","Win"
"345","14","16","30","-7","18","11","1","1249","115","34","34","4","1","95","0","4.001","Win"
"346","12","22","34","3","29","11","0","1204","106","34","40","3","0","58","0","3.749","Loss"
"347","7","19","26","3","36","8","0","1292","122","45","33","4","2","145","2","1.960","Tie"
"348","6","21","27","-1","40","7","0","1109","61","46","35","5","4","145","0","2.837","Tie"
"349","6","25","31","11","26","13","0","1112","108","59","48","3","3","101","0","1.617","Loss"
"350","15","29","44","6","27","20","0","1232","152","58","40","5","1","181","0","2.791","Win"
"351","10","25","35","-1","20","12","1","1190","120","48","50","5","3","147","0","2.151","Win"
"352","10","22","32","-8","22","11","0","1148","118","62","49","5","2","171","0","3.142","Loss"
"353","14","14","28","-10","16","11","0","1209","98","48","26","6","2","164","1","2.605","Loss"
"354","8","24","32","3","10","13","0","1172","117","50","28","4","3","109","0","3.661","Win"
"355","17","22","39","10","16","14","0","1181","124","63","31","5","1","142","0","3.068","Win"
"356","9","15","24","1","26","6","0","1279","119","58","47","6","5","120","1","1.942","Loss"
"357","14","16","30","-10","6","10","0","1244","140","56","55","3","2","86","1","0.980","Loss"
"358","16","15","31","11","24","3","1","1230","154","55","36","6","2","207","0","2.426","Win"
"359","14","22","36","-6","18","14","0","1150","97","42","52","5","4","165","1","1.754","Win"
"360","17","20","37","-9","8","18","0","1204","122","43","50","5","1","136","0","4.326","Loss"
"361","11","21","32","11","24","6","0","1168","130","51","35","4","1","125","0","3.544","Win"
"362","13","13","26","7","10","10","0","1068","86","58","47","3","2","72","0","2.570","Loss"
"363","9","16","25","-5","22","8","0","1234","104","46","60","4","0","113","0","2.509","Loss"
"364","9","22","31","-8","22","14","1","1200","100","39","40","5","3","149","1","1.821","Win"
"365","7","13","20","-25","39","7","1","1220","122","60","55","3","1","73","0","2.643","Win"
"366","16","19","35","4","25","9","1","1156","103","51","49","2","0","58","0","4.391","Loss"
"367","11","17","28","-7","34","8","0","1262","148","65","38","5","3","137","0","2.228","Win"
"368","10","17","27","11","32","5","0","1162","117","53","18","7","4","174","1","2.411","Loss"
"369","9","20","29","2","8","10","0","1147","85","30","33","5","3","140","1","3.615","Loss"
"370","8","13","21","-3","10","4","0","1189","78","37","38","7","7","188","0","1.429","Win"
"371","8","17","25","-13","20","10","0","1257","120","52","52","6","2","158","1","3.374","Win"
"372","16","13","29","-3","24","6","0","1145","124","36","45","5","3","154","0","2.955","Loss"
"373","12","15","27","7","24","6","0","1120","105","54","53","5","2","159","0","3.158","Loss"
"374","8","28","36","-9","33","15","1","1282","108","48","51","6","4","138","1","1.977","Win"
"375","4","20","24","4","26","6","0","1181","86","45","39","4","3","110","0","2.758","Loss"
"376","13","22","35","-1","25","15","0","1274","113","66","42","5","4","148","1","1.805","Win"
"377","10","18","28","-3","16","6","0","1198","91","34","39","3","1","66","0","3.917","Loss"
"378","12","18","30","-13","20","10","0","1191","126","59","47","3","2","92","0","2.034","Win"
"379","15","25","40","15","28","11","0","1167","111","63","42","4","2","118","0","3.608","Win"
"380","10","19","29","-13","24","9","0","1231","119","47","41","4","1","95","0","3.786","Loss"
"381","6","29","35","11","12","10","0","1181","96","53","28","5","2","121","0","3.367","Loss"
"382","12","19","31","-7","20","5","0","1239","124","52","46","5","1","134","0","2.679","Win"
"383","9","16","25","17","24","7","0","1171","111","40","38","3","1","80","0","3.848","Loss"
"384","13","18","31","4","18","9","1","1190","104","55","43","5","3","125","0","3.235","Win"
